,PERMNO
2051,12684
2052,12687
2053,12688
2054,12689
2055,12690
2056,12691
2057,12692
2058,12693
2059,12694
2060,12695
2061,12696
2062,12698
2063,12699
2064,12700
2065,12706
2066,12707
2067,12715
2068,12718
2069,12719
2070,12720
2071,12723
2072,12730
2073,12731
2074,12742
2075,12743
2076,12745
2077,12746
2078,12747
2079,12749
2080,12750
2081,12751
2082,12755
2083,12756
2084,12758
2085,12759
2086,12760
2087,12766
2088,12774
2089,12781
2090,12782
2091,12783
2092,12784
2093,12785
2094,12786
2095,12787
2096,12788
2097,12789
2098,12791
2099,12792
2100,12793
2101,12794
2102,12795
2103,12796
2104,12797
2105,12798
2106,12799
2107,12802
2108,12803
2109,12811
2110,12828
2111,12835
2112,12837
2113,12838
2114,12839
2115,12840
2116,12854
2117,12865
2118,12871
2119,12872
2120,12873
2121,12877
2122,12878
2123,12879
2124,12880
2125,12881
2126,12882
2127,12883
2128,12884
2129,12885
2130,12886
2131,12887
2132,12888
2133,12890
2134,12891
2135,12892
2136,12893
2137,12894
2138,12895
2139,12896
2140,12897
2141,12900
2142,12903
2143,12905
2144,12906
2145,12907
2146,12908
2147,12910
2148,12912
2149,12913
2150,12914
2151,12915
2152,12916
2153,12918
2154,12919
2155,12920
2156,12921
2157,12922
2158,12924
2159,12927
2160,12928
2161,12933
2162,12942
2163,12946
2164,12952
2165,12954
2166,12959
2167,12960
2168,12961
2169,12962
2170,12963
2171,12964
2172,12965
2173,12966
2174,12967
2175,12969
2176,12970
2177,12971
2178,12972
2179,12976
2180,12981
2181,12982
2182,12984
2183,12994
2184,13003
2185,13005
2186,13006
2187,13007
2188,13008
2189,13010
2190,13011
2191,13012
2192,13013
2193,13014
2194,13015
2195,13018
2196,13019
2197,13022
2198,13034
2199,13035
2200,13036
2201,13037
2202,13038
2203,13040
2204,13041
2205,13046
2206,13047
2207,13048
2208,13049
2209,13056
2210,13064
2211,13078
2212,13080
2213,13081
2214,13083
2215,13084
2216,13085
2217,13093
2218,13097
2219,13099
2220,13100
2221,13101
2222,13103
2223,13104
2224,13105
2225,13106
2226,13107
2227,13108
2228,13109
2229,13110
2230,13111
2231,13112
2232,13113
2233,13115
2234,13116
2235,13119
2236,13120
2237,13121
2238,13123
2239,13124
2240,13128
2241,13133
2242,13134
2243,13135
2244,13139
2245,13140
2246,13141
2247,13142
2248,13143
2249,13145
2250,13152
2251,13159
2252,13160
2253,13161
2254,13162
2255,13163
2256,13167
2257,13168
2258,13169
2259,13172
2260,13176
2261,13177
2262,13179
2263,13180
2264,13181
2265,13185
2266,13188
2267,13191
2268,13196
2269,13198
2270,13201
2271,13202
2272,13203
2273,13204
2274,13206
2275,13210
2276,13216
2277,13222
2278,13224
2279,13225
2280,13227
2281,13232
2282,13244
2283,13249
2284,13250
2285,13253
2286,13255
2287,13260
2288,13261
2289,13262
2290,13263
2291,13264
2292,13265
2293,13267
2294,13276
2295,13277
2296,13278
2297,13279
2298,13280
2299,13281
2300,13283
2301,13284
2302,13285
2303,13286
2304,13290
2305,13291
2306,13292
2307,13294
2308,13296
2309,13298
2310,13299
2311,13302
2312,13303
2313,13304
2314,13305
2315,13309
2316,13311
2317,13314
2318,13315
2319,13316
2320,13318
2321,13319
2322,13320
2323,13321
2324,13323
2325,13324
2326,13325
2327,13326
2328,13327
2329,13328
2330,13329
2331,13330
2332,13331
2333,13332
2334,13336
2335,13337
2336,13340
2337,13342
2338,13343
2339,13347
2340,13349
2341,13350
2342,13352
2343,13353
2344,13354
2345,13355
2346,13356
2347,13357
2348,13358
2349,13363
2350,13366
2351,13367
2352,13369
2353,13370
2354,13371
2355,13372
2356,13373
2357,13374
2358,13375
2359,13376
2360,13377
2361,13378
2362,13379
2363,13380
2364,13383
2365,13384
2366,13385
2367,13388
2368,13390
2369,13391
2370,13393
2371,13395
2372,13396
2373,13398
2374,13399
2375,13400
2376,13401
2377,13402
2378,13403
2379,13404
2380,13405
2381,13406
2382,13407
2383,13408
2384,13409
2385,13410
2386,13411
2387,13412
2388,13425
2389,13429
2390,13430
2391,13432
2392,13435
2393,13438
2394,13439
2395,13447
2396,13452
2397,13453
2398,13454
2399,13455
2400,13456
2401,13470
2402,13486
2403,13500
2404,13502
2405,13507
2406,13508
2407,13509
2408,13511
2409,13515
2410,13519
2411,13520
2412,13521
2413,13522
2414,13523
2415,13524
2416,13525
2417,13526
2418,13527
2419,13528
2420,13529
2421,13531
2422,13532
2423,13533
2424,13534
2425,13535
2426,13536
2427,13537
2428,13539
2429,13543
2430,13544
2431,13545
2432,13546
2433,13547
2434,13548
2435,13550
2436,13551
2437,13552
2438,13553
2439,13554
2440,13556
2441,13557
2442,13558
2443,13559
2444,13560
2445,13561
2446,13563
2447,13564
2448,13565
2449,13567
2450,13569
2451,13570
2452,13571
2453,13576
2454,13577
2455,13579
2456,13580
2457,13582
2458,13583
2459,13584
2460,13585
2461,13586
2462,13594
2463,13596
2464,13597
2465,13598
2466,13599
2467,13600
2468,13601
2469,13603
2470,13604
2471,13610
2472,13615
2473,13616
2474,13617
2475,13618
2476,13621
2477,13622
2478,13625
2479,13627
2480,13628
2481,13631
2482,13632
2483,13633
2484,13634
2485,13636
2486,13637
2487,13638
2488,13639
2489,13640
2490,13641
2491,13642
2492,13643
2493,13644
2494,13646
